   6.4768115942029164e-02	   6.6204347826086951e-01	
   7.0565217391304516e-02	   7.6928985507246361e-01	
   1.1259420289855085e-01	   8.5044927536231874e-01	
   1.9810144927536244e-01	   9.2001449275362301e-01	
   3.0679710144927547e-01	   9.4610144927536211e-01	
   5.6766666666666676e-01	   9.4899999999999984e-01	
   8.2853623188405801e-01	   9.4899999999999984e-01	
   9.3868115942028973e-01	   9.5044927536231871e-01	
   1.0169420289855071e+00	   9.7218840579710131e-01	
   1.0024492753623186e+00	   9.0407246376811579e-01	
   9.7056521739130430e-01	   8.5044927536231874e-01	
   9.1259420289855053e-01	   8.3450724637681151e-01	
   8.3868115942028965e-01	   8.3015942028985501e-01	
   7.7926086956521723e-01	   8.3305797101449264e-01	
   7.5897101449275350e-01	   7.5479710144927525e-01	
   7.4447826086956526e-01	   6.7218840579710126e-01	
   7.3288405797101452e-01	   6.0117391304347811e-01	
   7.2418840579710153e-01	   5.0552173913043463e-01	
   7.2853623188405803e-01	   4.0407246376811579e-01	
   7.3868115942028978e-01	   3.1131884057970999e-01	
   7.6911594202898548e-01	   2.4755072463768102e-01	
   8.6911594202898523e-01	   2.2436231884057964e-01	
   9.5027536231884047e-01	   2.6349275362318825e-01	
   1.0140434782608694e+00	   3.2871014492753614e-01	
   1.0053478260869562e+00	   2.6349275362318825e-01	
   9.6331884057971007e-01	   1.9682608695652176e-01	
   9.1114492753623177e-01	   1.4320289855072452e-01	
   7.8940579710144920e-01	   9.2478260869565024e-02	
   6.4882608695652177e-01	   1.4320289855072452e-01	
   6.0969565217391297e-01	   2.1131884057971001e-01	
   5.9520289855072472e-01	   3.0262318840579699e-01	
   5.9955072463768122e-01	   4.0986956521739115e-01	
   6.2128985507246370e-01	   5.0262318840579701e-01	
   6.6476811594202900e-01	   6.8957971014492736e-01	
   6.8215942028985499e-01	   7.6928985507246361e-01	
   7.0389855072463769e-01	   8.3450724637681151e-01	
   6.4302898550724630e-01	   8.3595652173913026e-01	
   5.6042028985507253e-01	   8.3305797101449264e-01	
   5.0679710144927548e-01	   8.3450724637681151e-01	
   4.4302898550724645e-01	   8.3160869565217377e-01	
   4.3723188405797103e-01	   7.5479710144927525e-01	
   4.2563768115942030e-01	   6.6639130434782601e-01	
   4.1114492753623194e-01	   5.7653623188405789e-01	
   3.9230434782608703e-01	   4.8668115942028978e-01	
   3.7491304347826093e-01	   3.6639130434782602e-01	
   3.5027536231884066e-01	   2.6784057971014474e-01	
   3.0679710144927547e-01	   1.6928985507246364e-01	
   2.5752173913043491e-01	   1.0552173913043475e-01	
   2.0100000000000012e-01	   8.6681159420289755e-02	
   1.3868115942029000e-01	   1.1711594202898527e-01	
   1.3723188405797118e-01	   1.7508695652173900e-01	
   1.9085507246376823e-01	   2.4755072463768102e-01	
   2.3143478260869579e-01	   3.1856521739130428e-01	
   2.9955072463768123e-01	   4.9102898550724627e-01	
   3.1694202898550738e-01	   5.7653623188405789e-01	
   3.2998550724637693e-01	   6.4610144927536228e-01	
   3.3868115942028987e-01	   7.2581159420289842e-01	
   3.5172463768115947e-01	   7.8668115942028971e-01	
   3.5462318840579721e-01	   8.3450724637681151e-01	
   2.9955072463768123e-01	   8.3305797101449264e-01	
   2.3433333333333342e-01	   8.2436231884057953e-01	
   1.7491304347826098e-01	   7.9392753623188406e-01	
   1.2128985507246393e-01	   7.3305797101449266e-01	
   6.4768115942029164e-02	   6.6204347826086951e-01	
